@RELATIO-1 aclImdb-first10

@ATTRIBUTE the -1UMERIC
@ATTRIBUTE and -1UMERIC
@ATTRIBUTE a -1UMERIC
@ATTRIBUTE of -1UMERIC
@ATTRIBUTE to -1UMERIC
@ATTRIBUTE is -1UMERIC
@ATTRIBUTE it -1UMERIC
@ATTRIBUTE in -1UMERIC
@ATTRIBUTE i -1UMERIC
@ATTRIBUTE this -1UMERIC
@ATTRIBUTE pos {1,-1}

@DATA
15,12,13,7,10,9,0,6,4,2,1
12,7,2,5,5,2,6,1,12,0,1
8,11,3,6,4,7,0,7,0,1,1
5,6,7,5,3,1,2,1,3,4,1
9,8,2,4,1,3,5,7,0,2,1
7,4,4,3,1,4,5,2,0,4,1
8,6,3,4,6,2,1,2,6,5,1
6,5,2,2,6,3,3,3,2,2,1
23,12,14,6,8,1,8,5,10,1,1
6,8,7,2,2,3,4,2,5,1,1
3,4,10,2,4,3,5,4,0,0,1
5,3,2,3,2,0,1,6,5,0,1
6,11,16,3,2,3,7,2,6,3,1
9,4,8,8,6,3,11,1,7,0,1
19,16,18,10,7,20,5,9,2,9,1
7,7,4,1,2,6,6,1,3,2,1
26,13,5,5,11,2,5,9,14,4,1
27,13,6,9,8,8,2,9,0,3,1
18,5,5,7,9,3,9,5,3,2,1
26,4,11,8,9,7,4,5,1,2,1
17,0,6,7,10,9,8,4,5,9,1
7,7,3,7,4,5,6,1,4,4,1
21,3,4,9,4,5,2,1,2,6,1
7,3,1,3,6,3,5,2,6,2,1
10,6,9,12,3,5,3,1,12,3,1
8,8,5,7,4,4,5,2,6,3,1
9,3,3,1,7,3,5,4,13,1,1
1,1,3,1,5,1,2,0,1,1,1
25,5,4,11,9,2,3,1,9,2,1
5,5,4,1,3,3,2,2,2,4,1
18,5,3,13,3,4,2,2,4,1,1
8,7,3,2,4,2,6,1,9,0,1
11,6,13,5,7,9,3,5,2,3,1
8,3,2,3,5,1,3,2,7,1,1
17,13,10,12,5,3,7,7,8,1,1
42,36,34,23,18,6,19,11,21,10,1
6,4,1,5,1,5,3,3,2,4,1
13,6,6,3,3,1,1,3,0,1,1
10,7,1,4,7,7,4,2,1,2,1
3,5,8,5,2,2,3,0,6,5,1
11,10,6,4,1,4,0,6,0,1,1
9,5,5,2,6,4,2,0,2,2,1
16,6,5,5,5,7,1,9,1,4,1
12,4,12,1,2,4,2,3,3,3,1
16,8,4,2,11,2,3,7,0,6,1
11,4,13,4,5,2,3,2,1,1,1
7,3,1,2,4,1,1,1,4,4,1
10,6,7,1,6,7,3,0,1,2,1
15,5,5,8,12,7,1,6,5,6,1
18,9,8,7,10,13,7,2,4,1,1
18,10,10,5,10,12,13,2,7,0,1
2,6,3,0,3,1,4,2,8,6,1
11,9,6,4,6,2,2,7,6,4,1
8,4,4,8,3,4,5,2,2,3,1
6,4,3,7,5,3,6,0,6,2,1
11,4,5,0,3,4,5,3,8,5,1
23,1,4,9,4,7,1,4,0,3,1
8,5,1,1,5,1,3,1,3,1,1
5,6,9,4,2,6,3,2,10,4,1
8,3,7,3,3,3,4,3,7,7,1
12,2,9,6,6,11,2,3,8,6,1
12,6,11,4,7,6,9,8,13,4,1
3,6,4,2,5,1,3,2,5,1,1
21,12,7,8,4,2,3,8,7,1,1
7,7,8,3,6,2,4,3,5,3,1
20,7,4,9,8,5,5,0,3,3,1
4,7,5,2,3,5,6,1,4,2,1
10,3,10,6,3,3,6,2,0,6,1
47,27,30,29,40,27,17,17,3,7,1
16,23,21,4,20,11,5,8,9,6,1
28,10,20,20,17,10,17,13,20,10,1
13,10,6,5,3,5,7,3,6,4,1
8,6,4,2,5,1,5,8,7,2,1
9,3,4,4,4,3,1,0,3,3,1
10,6,5,2,3,0,8,3,9,1,1
10,7,7,6,3,6,2,1,4,1,1
14,10,9,4,2,5,3,6,4,2,1
9,6,7,2,3,10,2,4,0,5,1
3,9,2,1,8,5,6,3,4,1,1
24,12,10,6,12,7,2,7,2,4,1
7,8,1,4,3,4,7,2,1,2,1
3,2,4,0,1,2,7,0,3,1,1
8,8,3,3,2,4,1,2,8,5,1
13,9,12,5,8,5,8,3,5,5,1
15,4,0,2,2,4,0,3,3,3,1
2,0,3,2,1,0,1,2,3,3,1
9,5,2,2,4,0,3,2,2,1,1
3,2,4,1,1,3,4,3,0,3,1
10,2,5,5,2,3,3,2,6,3,1
19,5,15,7,6,16,4,4,9,3,1
10,4,5,5,0,0,4,5,2,1,1
23,9,14,12,4,8,1,5,0,3,1
27,14,14,12,16,15,11,7,10,13,1
26,12,16,7,13,12,6,5,0,5,1
26,8,7,17,11,11,2,14,3,8,1
8,12,3,6,3,6,5,3,5,4,1
24,13,6,5,10,5,2,8,0,1,1
10,4,1,4,7,5,7,2,1,3,1
33,12,10,11,13,7,3,7,10,4,1
28,10,18,18,12,5,12,3,1,2,1
15,4,3,3,4,2,6,3,5,4,1
10,5,6,2,1,6,9,4,4,1,1
28,11,16,10,5,9,7,5,4,1,1
16,10,9,8,4,5,8,5,0,1,1
12,1,2,2,1,1,5,4,3,2,1
9,5,4,1,0,0,0,0,5,1,1
7,2,0,3,1,0,1,0,4,0,1
6,3,1,1,2,2,1,0,3,2,1
12,3,2,3,0,0,1,4,5,1,1
7,7,3,2,2,2,3,0,6,1,1
6,2,4,2,5,1,3,0,0,5,1
3,0,3,2,1,2,4,4,6,3,1
21,12,15,4,9,10,4,9,0,5,1
14,16,13,11,6,8,3,6,0,1,1
23,12,15,10,22,12,1,6,1,0,1
15,6,10,4,10,8,2,5,2,3,1
6,10,10,3,4,8,0,4,3,4,1
7,7,8,5,2,3,2,0,0,1,1
30,25,8,19,7,7,7,9,1,6,1
16,4,5,8,4,4,4,4,0,3,1
24,7,7,15,12,8,1,6,0,2,1
46,14,12,24,17,9,9,12,1,3,1
3,2,2,2,2,6,0,2,1,1,1
15,6,1,3,2,6,2,3,3,1,1
6,3,1,1,3,2,3,1,0,1,1
24,7,7,12,14,4,6,8,0,3,1
11,4,4,5,4,4,1,5,5,2,1
6,5,1,3,1,2,0,3,0,0,1
55,40,26,23,25,17,39,16,7,5,1
12,11,5,5,4,2,5,3,5,4,1
7,5,2,3,2,3,0,1,2,2,1
29,10,18,9,10,13,14,7,11,9,1
18,6,5,9,6,4,2,2,1,5,1
9,3,15,2,4,4,4,4,2,3,1
24,13,18,6,12,23,6,10,9,12,1
26,8,7,9,13,10,2,8,3,1,1
38,19,6,21,17,14,5,3,1,8,1
22,12,14,13,10,10,15,9,9,12,1
51,32,36,19,30,11,14,21,7,7,1
28,17,10,18,12,11,3,5,1,3,1
62,12,16,15,14,22,7,17,1,5,1
8,7,7,3,4,7,2,4,0,2,1
24,10,16,9,9,10,8,11,6,6,1
13,13,12,2,7,7,5,9,2,1,1
36,25,30,31,15,15,3,23,0,8,1
7,2,5,5,6,2,1,0,0,1,1
21,10,10,11,4,6,4,4,5,3,1
24,12,14,9,18,4,10,4,11,2,1
13,3,9,4,2,2,3,3,0,1,1
23,20,22,19,11,12,6,6,0,2,1
13,4,5,1,5,2,6,2,8,2,1
44,9,13,9,18,5,13,9,15,9,1
7,3,6,4,2,3,1,0,3,1,1
5,2,2,0,4,3,0,1,2,3,1
15,10,3,7,3,4,8,0,2,2,1
57,18,15,24,11,13,1,18,0,6,1
37,16,10,19,10,10,2,10,0,5,1
6,5,2,2,7,3,3,0,5,2,1
8,3,3,2,3,4,2,2,3,2,1
18,2,2,7,5,9,4,5,3,1,1
8,7,11,1,5,2,1,5,0,0,1
39,9,12,16,23,2,7,18,0,1,1
7,4,3,7,1,1,0,1,1,3,1
11,4,3,6,3,1,0,4,3,2,1
16,7,11,17,7,3,3,13,1,1,1
5,3,1,1,1,2,4,1,2,0,1
38,21,28,25,9,11,12,13,2,4,1
12,3,7,6,4,3,8,4,4,4,1
4,6,3,1,4,2,0,2,0,2,1
7,12,6,7,11,3,5,4,7,4,1
7,0,6,4,6,2,3,5,4,2,1
29,14,11,10,11,8,8,9,8,7,1
16,11,9,8,6,6,5,10,1,1,1
21,11,11,10,10,13,8,7,5,5,1
11,2,7,7,3,1,4,4,6,0,1
6,4,2,2,3,3,5,1,0,2,1
6,10,10,3,2,5,1,5,5,2,1
17,7,4,5,5,8,1,3,0,4,1
15,8,9,5,2,7,5,1,0,6,1
19,21,3,13,6,1,15,5,8,4,1
7,3,4,5,1,0,3,0,9,3,1
5,5,5,0,4,3,2,2,0,4,1
10,5,6,4,2,0,0,2,0,0,1
11,6,7,6,3,2,1,1,0,2,1
10,2,5,4,3,3,0,3,2,0,1
7,2,2,2,1,3,2,0,2,1,1
6,3,0,1,2,0,1,0,5,2,1
16,4,7,12,2,2,6,7,0,0,1
4,5,5,3,3,2,1,4,2,6,1
15,16,16,14,8,8,2,15,1,6,1
7,11,11,4,7,13,6,6,2,2,1
5,5,4,2,2,3,6,4,2,0,1
24,12,5,4,7,7,3,2,2,2,1
7,3,1,4,4,1,3,2,3,4,1
15,6,3,5,4,0,6,2,6,0,1
4,3,4,2,2,1,3,1,4,2,1
2,1,2,1,1,1,1,2,0,0,1
5,1,0,2,2,0,1,4,1,1,1
6,5,4,3,7,3,3,1,4,2,1
4,0,3,0,3,2,3,2,2,0,1
16,3,6,4,2,4,5,2,3,6,1
4,10,3,3,6,2,9,2,11,2,1
3,2,2,0,1,0,5,0,4,0,1
14,7,7,3,10,5,5,2,14,5,1
10,5,5,2,4,1,4,1,5,0,1
3,2,6,2,3,1,1,0,0,1,1
6,7,7,11,5,5,9,1,4,1,1
16,5,7,1,4,4,0,5,0,1,1
9,7,6,6,4,5,1,1,4,2,1
17,6,1,2,4,7,3,1,0,0,1
9,2,8,3,9,3,0,4,3,1,1
11,2,3,2,4,3,1,3,0,0,1
7,4,4,3,1,5,3,0,3,6,1
7,7,2,1,4,3,4,2,7,4,1
41,19,25,18,15,15,13,15,13,11,1
8,5,1,4,2,3,5,1,10,3,1
25,7,6,6,7,4,12,7,12,0,1
8,6,2,2,3,3,4,1,4,2,1
37,16,13,8,13,5,14,6,7,5,1
10,2,4,3,4,0,4,1,1,3,1
7,3,4,3,4,6,1,1,0,2,1
36,14,23,16,9,21,18,13,2,3,1
30,23,10,8,22,10,10,9,1,3,1
7,4,3,2,1,2,3,2,2,0,1
3,5,4,0,5,0,1,3,3,2,1
0,2,1,0,2,2,4,1,0,2,1
6,7,2,4,4,3,0,5,2,2,1
4,9,9,3,2,1,5,1,3,3,1
41,26,31,33,13,17,5,9,0,12,1
23,8,4,10,7,7,3,8,0,3,1
23,10,5,1,10,4,4,5,2,1,1
10,1,5,5,5,5,3,3,2,0,1
4,5,6,1,5,4,10,0,7,0,1
14,11,10,6,10,18,6,1,0,4,1
15,4,1,3,1,3,2,0,4,1,1
16,13,8,9,4,5,7,2,2,2,1
15,6,11,9,6,7,2,4,0,3,1
20,6,5,6,4,1,0,6,0,1,1
13,4,6,6,1,3,10,6,7,5,1
7,2,5,6,3,5,2,6,0,0,1
16,6,7,10,3,7,1,0,1,3,1
8,5,3,4,1,2,2,3,0,4,1
13,8,10,8,4,4,0,7,4,5,1
65,23,24,34,26,18,8,20,0,7,1
5,3,1,2,1,2,0,0,1,1,1
11,4,1,3,1,6,2,1,5,3,1
40,17,7,21,12,7,1,9,0,1,1
5,5,1,4,2,0,0,1,0,2,1
3,3,5,2,3,1,5,2,0,4,1
2,7,9,6,2,6,10,3,2,3,1
9,4,2,1,1,5,2,3,0,0,1
4,0,1,1,2,0,1,0,1,1,1
4,3,2,2,2,0,7,3,5,1,1
2,3,1,1,1,2,1,0,0,1,1
10,2,7,5,3,2,3,2,0,1,1
10,2,6,4,4,4,4,4,3,4,1
3,0,4,2,3,1,2,1,0,0,1
24,14,11,7,6,11,7,5,4,5,1
7,4,12,1,1,3,0,2,0,1,1
10,10,8,5,9,2,0,5,3,2,1
15,7,5,2,3,7,2,3,0,0,1
8,2,1,3,0,3,1,3,0,1,1
17,13,8,8,3,6,3,8,4,2,1
29,25,34,12,23,20,17,10,0,1,1
17,10,4,5,6,9,3,6,2,1,1
38,17,19,17,20,11,8,11,2,1,1
2,5,4,7,1,1,2,0,5,4,1
6,5,2,4,2,8,2,0,2,0,1
16,11,10,6,7,5,3,7,0,3,1
16,9,6,7,4,3,4,4,0,0,1
12,9,7,4,8,3,5,5,0,0,1
13,17,15,4,9,8,4,2,1,4,1
11,4,3,4,2,0,0,0,3,0,1
13,14,8,10,11,1,11,8,8,3,1
19,6,12,7,10,11,9,4,0,3,1
2,7,1,5,5,1,1,3,2,1,1
3,4,4,3,3,1,3,3,0,3,1
12,3,7,2,5,6,3,3,1,2,1
4,5,1,1,0,3,4,3,3,1,1
9,6,5,5,2,1,3,1,0,0,1
5,11,8,5,4,3,7,3,2,4,1
10,5,1,8,2,1,2,1,0,1,1
10,3,5,4,6,5,0,3,2,2,1
18,5,10,10,8,2,5,6,4,2,1
42,11,12,18,8,6,3,9,2,3,1
10,1,10,10,1,3,2,3,3,1,1
36,7,17,11,13,11,1,4,0,6,1
0,2,3,2,3,0,1,0,1,2,1
22,15,3,11,5,3,7,4,1,5,1
13,3,10,6,3,4,1,2,3,2,1
2,3,3,2,4,2,3,2,2,2,1
16,5,11,10,3,4,1,3,2,0,1
8,4,7,3,3,3,1,3,0,1,1
27,6,18,12,9,4,1,5,0,0,1
10,3,3,4,0,5,2,3,3,2,1
10,3,3,4,0,5,2,3,3,2,1
9,1,3,3,3,7,3,2,3,3,1
17,8,10,2,3,4,4,6,3,2,1
5,3,0,8,1,2,2,3,3,0,1
20,9,5,10,8,2,9,8,2,4,1
25,12,9,8,6,5,7,5,12,3,1
3,3,0,0,3,1,2,0,7,3,1
15,6,8,3,4,3,1,6,7,2,1
12,8,6,3,3,6,4,6,0,4,1
2,0,2,1,1,0,2,0,1,0,1
4,3,5,2,3,2,4,5,4,2,1
7,4,5,3,4,3,4,0,6,1,1
8,2,5,1,10,2,11,2,25,1,1
9,4,4,5,1,4,9,5,4,6,1
2,0,1,0,1,1,0,3,3,3,1
12,11,11,5,7,8,7,9,19,0,1
6,7,6,6,5,7,3,0,8,4,1
1,7,6,2,4,3,12,5,4,3,1
1,3,0,0,0,0,3,0,2,1,1
3,2,2,1,1,3,2,0,2,1,1
2,2,1,2,2,2,3,0,2,1,1
8,5,9,2,3,0,8,2,2,2,1
11,14,13,5,7,9,1,4,0,2,1
7,8,3,1,1,4,3,2,0,0,1
1,1,4,0,0,2,0,0,1,2,1
2,2,2,1,1,1,2,2,1,2,1
6,3,5,5,7,7,0,0,0,3,1
5,7,5,3,2,0,2,3,9,5,1
3,3,1,1,3,6,4,3,1,2,1
3,9,5,6,6,7,2,7,1,4,1
9,5,4,5,6,1,1,1,0,0,1
2,1,1,1,1,2,0,1,3,2,1
20,9,11,8,7,9,10,4,4,9,1
15,6,6,3,3,6,2,3,1,3,1
11,5,2,2,1,5,2,1,4,2,1
2,1,6,1,2,0,8,1,5,2,1
11,7,9,4,1,0,10,4,7,8,1
27,11,14,8,3,8,4,5,7,7,1
9,2,0,5,2,0,3,1,2,2,1
17,12,4,8,8,1,6,7,16,3,1
4,4,3,5,1,3,4,2,2,4,1
16,7,7,5,2,6,1,4,1,3,1
32,17,11,14,17,12,10,11,0,5,1
23,9,8,6,3,6,6,3,3,4,1
5,4,3,1,2,1,5,1,3,1,1
17,5,4,5,4,0,4,0,6,0,1
9,5,4,4,3,1,2,2,1,4,1
24,8,9,6,5,2,5,2,18,9,1
10,10,5,8,6,5,5,6,16,11,1
14,6,7,3,7,7,4,3,10,7,1
6,2,6,1,5,3,3,1,2,4,1
8,3,0,0,4,4,1,0,1,1,1
11,1,1,4,1,1,1,1,4,5,1
9,3,12,4,5,3,1,7,1,4,1
7,8,6,3,3,0,6,3,4,5,1
10,5,2,7,3,6,4,3,0,1,1
12,14,8,7,1,2,5,5,5,3,1
8,12,11,9,3,9,7,1,5,4,1
8,1,1,3,2,4,6,0,7,1,1
45,25,23,21,18,28,26,8,2,12,1
15,10,8,5,4,9,6,2,0,3,1
38,12,17,11,16,11,9,5,2,4,1
9,4,4,2,3,2,1,4,0,2,1
8,8,7,3,7,6,5,3,0,4,1
34,15,14,19,7,17,9,10,7,9,1
7,3,5,4,2,9,4,3,3,3,1
7,3,3,2,2,4,6,1,7,3,1
10,6,4,4,5,2,10,2,11,3,1
18,4,9,7,3,10,7,2,5,10,1
10,4,8,2,3,3,7,5,10,3,1
8,8,15,6,13,7,3,3,0,1,1
19,10,12,12,5,15,7,8,7,7,1
23,13,13,4,7,9,9,4,4,3,1
28,24,10,13,6,15,12,10,4,7,1
16,4,7,13,7,3,6,3,0,7,1
60,17,14,34,14,23,14,12,11,14,1
11,4,2,4,3,5,6,1,1,1,1
14,8,6,6,5,8,5,2,0,2,1
7,9,10,8,7,7,8,8,0,4,1
29,14,5,9,10,10,8,7,2,5,1
9,6,5,4,3,2,2,3,0,1,1
37,11,12,20,18,15,9,6,3,12,1
42,39,21,18,29,22,19,18,18,7,1
5,6,6,1,6,2,3,2,3,3,1
9,2,6,2,5,2,5,3,10,5,1
19,3,5,12,2,7,0,0,1,5,1
30,13,5,16,2,1,2,3,1,1,1
27,15,8,8,4,4,6,4,4,3,1
4,5,1,0,2,4,9,1,11,5,1
34,27,10,16,10,3,12,10,5,7,1
23,9,7,11,7,3,6,4,1,2,1
23,14,4,11,4,3,3,3,3,4,1
6,12,2,1,2,3,3,2,2,2,1
20,11,9,7,6,13,7,3,7,0,1
4,1,5,3,0,3,5,0,5,1,1
6,10,2,2,3,2,9,4,5,5,1
9,18,6,3,7,7,7,3,10,3,1
38,23,21,25,18,7,7,8,15,2,1
5,3,2,1,1,4,3,1,2,4,1
15,5,7,7,4,4,7,3,1,3,1
5,1,2,2,0,0,0,0,0,0,1
5,8,0,6,2,1,3,2,4,2,1
11,9,9,7,4,6,7,1,3,3,1
2,3,2,2,1,2,1,0,1,1,1
4,4,9,6,1,3,1,2,3,2,1
16,9,9,7,4,1,11,2,10,1,1
2,6,7,3,0,7,1,3,1,4,1
6,4,1,4,3,2,3,1,1,2,1
3,4,0,6,3,0,3,4,2,5,1
13,8,6,6,2,2,1,4,2,2,1
11,3,4,2,0,2,1,0,2,3,1
5,3,4,1,3,2,4,2,0,2,1
17,2,3,7,2,1,1,4,6,2,1
17,4,2,6,5,2,3,5,5,5,1
21,8,14,14,8,8,2,6,4,2,1
18,8,8,5,1,6,4,6,4,2,1
9,4,4,2,1,1,3,2,1,7,1
12,2,3,7,1,3,1,3,1,1,1
10,3,3,5,4,4,4,1,0,4,1
16,6,8,12,5,4,9,4,5,3,1
8,4,2,2,4,1,3,1,9,4,1
10,7,4,3,4,6,7,0,3,1,1
8,4,12,4,2,8,4,2,1,4,1
9,5,4,3,1,9,1,3,5,4,1
9,3,5,2,4,3,2,3,4,1,1
6,5,2,2,4,4,2,0,4,1,1
3,4,2,4,2,2,1,0,0,1,1
19,2,5,5,4,9,2,2,5,7,1
35,16,19,13,13,14,7,6,3,7,1
5,3,4,5,0,1,2,1,0,3,1
3,3,6,2,0,1,0,2,1,1,1
3,2,2,2,0,0,2,0,1,4,1
10,2,8,1,1,7,1,1,1,2,1
15,1,5,8,4,0,0,3,1,2,1
2,2,1,2,2,2,0,3,0,1,1
6,3,0,2,0,1,0,1,0,0,1
13,9,7,3,4,4,2,7,1,2,1
2,1,1,2,2,2,1,2,0,2,1
13,9,4,4,3,4,3,8,1,2,1
12,3,3,5,6,6,0,1,1,1,1
15,1,6,15,11,4,8,7,2,3,1
14,3,3,0,9,1,2,4,13,0,1
19,9,7,8,6,0,1,2,2,4,1
2,3,1,0,3,0,1,0,1,1,1
23,7,4,10,7,0,7,3,5,2,1
2,0,2,3,1,2,0,1,0,1,1
49,37,15,18,11,21,5,11,4,7,1
15,3,5,4,0,1,2,1,3,2,1
4,3,2,1,2,0,2,0,1,1,1
6,9,3,4,4,1,2,2,1,3,1
8,9,3,3,2,8,1,4,2,1,1
7,7,1,5,2,2,1,3,0,3,1
26,17,10,9,4,9,5,4,1,1,1
18,10,6,5,3,10,5,7,0,5,1
16,7,0,9,2,4,3,4,4,0,1
2,2,1,2,3,1,2,1,0,1,1
5,4,2,1,4,0,4,3,4,1,1
1,3,4,0,1,0,3,1,2,2,1
0,1,3,0,0,1,1,0,0,1,1
6,2,1,3,3,0,1,2,3,1,1
0,1,4,0,1,1,2,1,0,1,1
5,6,3,4,4,1,0,2,0,2,1
6,3,3,5,3,2,2,2,9,10,1
12,9,10,2,8,1,3,2,2,4,1
5,2,2,1,2,4,1,1,2,0,1
15,9,6,6,7,4,2,3,3,2,1
19,8,9,6,8,12,6,8,6,7,1
1,7,1,1,0,2,0,0,1,3,1
11,8,2,4,2,4,0,4,2,2,1
5,1,4,1,3,2,2,2,0,1,1
9,4,1,4,4,2,5,4,1,2,1
5,3,2,5,2,2,2,3,0,3,1
5,6,5,5,5,6,4,3,0,3,1
15,8,2,8,2,2,0,2,0,0,1
16,1,6,11,6,1,1,7,4,2,1
8,3,6,5,2,5,1,3,0,4,1
14,18,15,4,6,6,3,9,15,3,1
3,3,6,1,4,3,4,1,1,3,1
9,5,5,3,3,2,2,0,6,3,1
28,10,5,5,3,5,9,9,12,2,1
14,6,3,8,2,5,1,4,2,3,1
15,2,13,4,4,5,1,3,0,0,1
13,9,0,1,4,4,7,4,9,5,1
9,5,7,3,2,9,2,0,4,3,1
8,3,2,5,1,6,3,1,5,1,1
8,5,4,0,4,4,4,1,3,2,1
6,6,3,5,2,1,2,4,10,0,1
58,28,15,15,8,19,11,14,0,4,1
4,4,1,3,2,3,3,1,5,3,1
58,14,18,23,19,20,6,17,8,7,1
14,7,9,12,4,3,6,5,5,3,1
9,5,5,13,7,4,0,1,2,5,1
31,16,11,18,11,6,10,13,7,3,1
4,1,1,3,0,1,1,0,0,1,1
24,12,10,12,7,4,0,3,0,4,1
13,3,3,1,2,0,2,1,2,1,1
5,0,2,1,1,0,0,2,3,2,1
14,5,2,5,2,4,9,4,4,1,1
8,3,6,2,4,5,5,4,3,2,1
3,3,1,0,0,1,4,0,2,0,1
0,2,1,0,1,0,1,0,1,1,1
8,5,5,2,0,2,7,3,6,1,1
7,4,6,1,3,2,8,3,0,2,1
5,2,4,4,2,2,4,1,4,3,1
0,2,0,1,0,1,3,1,1,1,1
13,3,4,5,3,4,2,4,2,1,1
10,6,4,6,1,3,1,4,0,2,1
6,14,4,2,1,3,8,1,7,5,1
12,14,12,9,6,10,1,8,16,1,1
16,10,5,7,7,3,5,4,10,4,1
12,4,9,4,6,3,6,9,0,5,1
38,23,26,21,21,16,0,10,3,5,1
9,2,1,3,3,5,3,6,1,6,1
8,6,4,5,0,4,3,1,4,7,1
22,10,9,5,20,10,11,5,12,7,1
11,5,6,3,4,7,7,3,1,2,1
6,0,3,1,3,1,2,1,1,1,1
17,7,9,7,4,6,6,4,3,2,1
13,6,7,4,8,9,20,2,7,6,1
5,0,2,3,3,1,3,0,2,0,1
49,41,37,42,45,34,21,14,19,35,1
2,1,0,1,5,1,3,0,4,1,1
13,7,10,5,6,8,6,7,0,0,1
18,9,2,8,0,3,1,4,2,1,1
3,3,1,3,1,1,6,0,2,2,1
13,11,8,4,5,3,8,0,15,2,1
14,6,3,6,5,4,3,5,5,1,1
7,6,4,2,4,1,4,3,8,4,1
4,2,1,2,0,2,1,2,1,1,1
13,9,2,3,4,5,2,0,1,3,1
19,4,11,6,1,7,4,4,3,2,1
6,5,0,2,4,0,2,2,5,2,1
4,4,2,7,2,3,2,2,3,4,1
14,15,6,3,4,4,12,4,3,5,1
12,6,4,0,4,4,4,5,2,3,1
8,6,4,5,3,4,14,2,3,3,1
19,11,7,6,6,12,5,3,5,8,1
7,4,3,4,2,0,5,0,4,0,1
7,7,4,7,2,2,1,3,1,1,1
44,39,28,37,20,16,18,16,0,12,1
4,7,5,3,4,3,6,2,7,2,1
21,16,18,10,8,10,19,5,10,4,1
29,9,11,16,8,1,6,10,11,5,1
22,9,8,7,4,8,2,3,0,2,1
8,4,8,6,0,2,5,1,0,1,1
14,11,9,7,6,6,3,1,6,5,1
16,11,8,8,7,7,9,8,5,5,1
21,4,13,8,7,4,1,6,1,3,1
26,16,14,16,13,12,7,8,3,12,1
13,5,7,7,3,4,2,5,0,3,1
2,1,1,1,3,0,0,1,0,1,1
12,2,8,4,3,3,1,2,1,2,1
3,5,2,4,3,1,4,3,9,3,1
2,1,5,2,0,3,0,0,0,2,1
4,3,4,1,2,4,4,3,1,1,1
3,2,1,1,1,3,1,0,1,1,1
2,1,2,0,1,0,3,0,4,3,1
5,2,4,0,2,0,4,4,3,0,1
10,4,5,3,5,2,1,2,0,3,1
10,4,3,3,1,2,5,4,9,2,1
20,10,10,10,8,2,4,2,3,0,1
38,31,28,24,27,17,24,12,9,5,1
32,14,4,10,4,11,2,5,1,3,1
8,4,3,4,6,4,4,3,3,4,1
30,18,12,17,18,10,2,11,0,2,1
43,23,13,24,14,6,3,7,13,0,1
48,36,29,29,26,19,11,25,1,2,1
15,20,10,9,7,5,5,8,3,4,1
40,29,17,15,14,19,13,11,7,6,1
41,16,10,20,13,2,6,14,9,4,1
24,16,8,10,10,4,6,6,5,8,1
9,10,8,7,0,2,2,4,1,1,1
38,18,11,16,3,16,12,14,0,0,1
13,6,2,4,4,2,4,4,0,1,1
27,27,26,7,20,18,2,19,1,2,1
25,12,10,21,9,13,6,19,3,7,1
23,18,13,20,7,4,6,7,1,3,1
49,20,21,16,13,11,10,14,10,4,1
14,13,12,11,4,6,6,2,4,6,1
7,7,5,4,6,2,4,2,0,1,1
16,7,8,9,4,2,3,5,0,1,1
17,6,10,10,2,4,1,4,0,3,1
15,8,12,8,2,0,1,3,4,5,1
15,15,4,11,6,5,2,5,0,3,1
17,11,3,5,2,3,0,1,3,0,1
9,2,1,4,4,5,8,1,1,1,1
22,11,13,5,7,7,13,15,7,13,1
58,18,7,19,13,16,10,11,5,12,1
9,5,3,7,2,0,6,7,6,5,1
8,2,2,3,0,5,7,2,8,4,1
5,2,4,4,7,2,3,2,4,0,1
8,11,3,5,7,5,3,1,0,0,1
12,5,1,2,3,2,2,2,5,0,1
4,4,0,1,0,1,1,0,0,3,1
4,2,7,2,1,4,5,4,6,5,1
7,1,7,2,3,2,4,1,4,3,1
26,7,8,10,12,9,9,4,11,6,1
21,16,7,7,8,7,5,13,1,6,1
17,11,16,17,8,8,5,9,4,10,1
5,5,5,9,8,3,5,1,0,0,1
8,3,0,3,2,3,7,0,2,1,1
4,9,2,3,3,3,1,3,0,3,1
6,5,4,4,5,7,6,1,0,2,1
18,10,9,9,7,12,13,6,10,4,1
3,2,4,5,4,4,2,1,1,4,1
6,6,5,7,2,1,7,0,1,0,1
17,8,4,8,4,3,4,2,3,3,1
7,7,4,2,2,6,5,1,0,1,1
10,2,1,7,7,4,3,1,4,3,1
20,5,8,8,3,2,4,5,1,4,1
6,3,4,3,6,4,6,2,0,4,1
9,2,2,1,0,4,3,1,2,2,1
19,5,4,7,3,7,4,5,7,4,1
7,4,2,1,2,2,1,0,2,2,1
3,1,1,2,1,5,4,1,2,3,1
3,1,3,3,1,2,2,1,4,1,1
9,0,8,2,3,6,9,3,1,2,1
30,14,12,13,10,8,4,10,0,4,1
48,21,16,22,25,17,11,10,6,7,1
24,12,18,11,13,17,11,7,8,2,1
30,14,12,13,10,8,4,10,0,4,1
24,18,13,8,9,9,7,10,2,8,1
11,7,2,6,1,1,0,6,0,3,1
3,5,4,1,5,1,4,7,3,5,1
7,6,5,3,3,3,2,4,2,3,1
27,7,4,14,6,5,3,6,6,5,1
8,1,0,1,1,2,0,2,2,2,1
2,0,1,3,4,1,3,0,7,2,1
8,1,3,5,2,0,0,1,0,0,1
6,1,1,3,1,2,1,2,0,1,1
